"DisplayName","Nationality"
"Mary Cassatt","American"
"William Merritt Chase","American"
"Jo Davidson","American"
"Thomas Wilmer Dewing","American"
"Frank Duveneck","American"
"Samuel Halpert","American"
"Robert Henri","American"
"George Inness","American"
"Rockwell Kent","American"
"John La Farge","American"
"Ernest Lawson","American"
"Paul Manship","American"
"Homer Dodge Martin","American"
"Frederic Remington","American"
"Charles Cary Rumsey","American"
"Augustus Saint-Gaudens","American"
"John Singer Sargent","American"
"Joseph Stella","American"
"Abbott Henderson Thayer","American"
"John Henry Twachtman","American"
"J. Alden Weir","American"
"James McNeill Whistler","American"
"Gertrude Vanderbilt Whitney","American"
"Alexander Helwig Wyant","American"
"Matilda A. Haviland","American"
"Edward Hicks","American"
"Joseph Pickett","American"
"Henry Hobson Richardson","American"
"Louis Sullivan","American"
"André Bauchant","French"
"Othon Coubine (or Otakar Kubin)","Czech"
"Henri Fantin-Latour","French"
"Anne Goldthwaite","American"
"Albert Herter","American"
"Bradley Walker Tomlin","American"
"Constantin Brancusi","French"
"Henri Gaudier-Brzeska","French"
"Eric Gill","British"
"John Storrs","American"
"Bauhaus","German"
"Andries Dirk Copier","Dutch"
"Georges de Feure","French"
"Charlotte Perriand","French"
"Louis Comfort Tiffany","American"
"Jan Tschichold","Swiss"
"Wilhelm Wagenfeld","German"
"George Fred Keck","American"
"Paul Schweiker","American"
"Raoul Hague","American"
"Carlos Mérida","Guatemalan"
"David Alfaro Siqueiros","Mexican"
"Harold Weston","American"
"Rudolph Bauer","American"
"Eugene Berman","American"
"Salvador Dalí","Spanish"
"Max Ernst","French"
"Juan Gris","Spanish"
"Jean Hugo","French"
"André Masson","French"
"László Moholy-Nagy","American"
"Kristians Tonny","Dutch"
"Jean Hélion","French"
"Jacques Mauny","French"
"Walker Evans","American"
"Hermann Haller","Swiss"
"Ivan Le Lorraine Albright","American"
"Mabel Alvarez","American"
"Julius Bloch","American"
"Ernest Blumenschein","American"
"Aaron Bohrod","American"
"Cameron Booth","American"
"Adolphe Borie","American"
"Kenneth Callahan","American"
"John Carroll","American"
"Clarence H. Carter","American"
"Francis Chapin","American"
"Rinaldo Cuneo","American"
"Gustaf Oscar Dalström","American"
"William A. Gaw","American"
"Victor Higgins","American"
"Alexandre Hogue","American"
"Charles Hopkinson","American"
"Joe Jones","American"
"Henry George Keller","American"
"Erle Loran","American"
"Herman Maril","American"
"Henry McCarter","American"
"Charles Quest","American"
"Louisa W. Robins","American"
"Robert S. Rogers","American"
"William S. Schwartz","American"
"Grant Wood","American"
"Adolphe Appia","Swiss"
"Léon Bakst","Russian"
"Jean Bérain","French"
"Claude Bragdon","American"
"Edward Gordon Craig","British"
"Walter Dexel","German"
"Mstislav Dobuzhinsky","Russian-Lithuanian"
"Henry Dreyfuss","American"
"Claud Lovat Fraser","British"
"Fabrizio Galliari","Italian"
"Norman Bel Geddes","American"
"Alexander Golovine","Russian"
"Natalia Goncharova","Russian"
"Isaac Grunewald","Swedish"
"Antonin Heythum","American"
"Vlastislav Hofman","Czech"
"Filippo Iuvara","Italian"
"Inigo Jones","English"
"Robert Edmond Jones","American"
"Jacques de Lajoue","French"
"Mikhail Larionov","Russian"
"Arch Lauterer","American"
"Vladimir Lebedev","Russian"
"Konstantin Medunetsky","Russian"
"Jo Mielziner","American"
"Janis Muncis","Russian"
"Ignatii Nivinskii","Russian"
"Donald M. Oenslager","American"
"Hans Poelzig","German"
"Francesco Primaticio","Italian"
"Charles Ricketts","English"
"Sebastiano Serlio","Italian"
"Sergei Soudeikine","Russian"
"Georgii Stenberg","Russian"
"Vladimir Stenberg","Russian"
"Oskar Strnad","Austrian"
"Aluminum Company of America, Pittsburgh, Pennsylvania","American"
"The Aluminum Cooking Utensil Co., New York, NY","American"
"American Steel & Wire Co., Worcester, MA","American"
"Brown & Sharpe Mfg. Co., Providence, RI","American"
"Chase Brass & Copper Co., Waterbury, CT","American"
"Coors Porcelain Co., Golden, CO","American"
"Corning Glass Works","American"
"Eugene Dietzgen Company, New York, NY","American"
"Henry Disston & Sons, Inc.","American"
"Eimer & Amend, New York, NY","American"
"Lurelle Guild","American"
"Josef Hoffmann","Austrian"
"Frank Graham Holmes","American"
"Nathan George Horwitt","American"
"Gustav Jensen","Nationality unknown"
"Lalance & Grosjean Mfg. Co., Woodhaven, NY","American"
"Lenox, Inc., Trenton, NJ","American"
"Walter Von Nessen","American"
"Owens-Illinois Glass Co., Toledo, OH","American"
"Polar Ware Company, Sheboygan, WI","American"
"Revere Copper and Brass, Inc., Rome, NY","American"
"S.K.F. Industries, Inc., Hartford, CT","American"
"Scovill Mfg. Co., Plumbers Brass Goods Div., Waterbury, CT","American"
"A. H. Staf","American"
"Sullivan Shipyards, Inc.","American"
"Walter Dorwin Teague","American"
"Thonet Brothers","Austrian"
"Kurt Versen","American"
"Westinghouse Electric & Mfg. Co., NY","American"
"Sven Wingquist","Swedish"
"Russel Wright","American"
"The Yale & Towne Mfg. Co., Stamford, CT","American"
"Carl Zeiss, Inc.","German"
"Sir Charles Barry","English"
"Jacques-Felix Duban","French"
"Leo von Klenze","German"
"Karl Friedrich Schinkel","German"
"John Trumbull","American"
"Eugène Delacroix","French"
"Maurice Denis","French"
"James Brooks","American"
"Lyonel Feininger","American"
"Pablo Gargallo","Spanish"
"Käthe Kollwitz","German"
"Georg Scholz","German"
"Prentiss Taylor","American"
"Francisco de Goya","Spanish"
"A. S. Baylinson","American"
"Julia Eckel","Nationality unknown"
"Malvin Gray Johnson","American"
"Georgina Klitgaard","American"
"Millard Sheets","American"
"Harry Shokler","American"
"Aleksandr Archipenko","American"
"Jean (Hans) Arp","French"
"Giacomo Balla","Italian"
"Christian Bérard","French"
"Massimo Campigli","Italian"
"Katherine S. Dreier","American"
"Marcel Duchamp","American"
"Raymond Duchamp-Villon","French"
"Hilaire Hiler","American"
"Jacques Lipchitz","American"
"Ewald Mataré","German"
"Antoine Pevsner","French"
"Kurt Schwitters","German"
"Florine Stettheimer","American"
"Lincoln Kirstein","American"
"George Caleb Bingham","American"
"James Johnson Sweeney","American"
"Emile Branchard","American"
"El Greco","Greek"
"Marguerite Zorach","American"
"George Morris","British"
"Monroe Wheeler","American"
"Cedric Gibbons","American"
"Irving Gill","American"
"William Wilson Wurster","American"
"A. M. Cassandre","French"
"Karl Free","American"
"Max Jacob","French"
"Per Krohg","Norwegian"
"Albert Marquet","French"
"Alfred H. Maurer","American"
"Wilson Steer","British"
"Herbert Bayer","American"
"Umberto Boccioni","Italian"
"Marcel Breuer","American"
"Francis Bruguière","American"
"Carlo Carrà","Italian"
"Pierre Chareau","French"
"Theo van Doesburg (Christian Emil Marie Küpper)","Dutch"
"César Domela-Nieuwenhuis","Dutch"
"Cornelis van Eesteren","Dutch"
"Viking Eggeling","Swedish"
"Fritz Hellmut Ehmcke","German"
"Alexandra Exter","Russian"
"Naum Gabo","American"
"Iraklii Gamrekeli","Georgian"
"Aleksei Gan (Hahn)","Russian"
"Alberto Giacometti","Swiss"
"Willem Hendrik Gispen","Dutch"
"Albert Gleizes","French"
"Julio González","Spanish"
"Josef Hartwig","German"
"Robert van't Hoff","Dutch"
"Vilmos Huszar","Dutch"
"E. McKnight Kauffer","American"
"Gustav Klutsis","Latvian"
"Frantiek Kupka","Czech"
"Henri Laurens","French"
"Hans Leistikow","German"
"Willem van Leusden","Dutch"
"Wyndham Lewis","British"
"El Lissitzky","Russian"
"Berthold Lubetkin","British"
"Kazimir Malevich","Russian"
"Man Ray","American"
"Louis Marcoussis","Polish"
"Charles Martin","American"
"Henry Moore","British"
"C. O. Muller","German"
"Ben Nicholson","British"
"Amédée Ozenfant","French"
"Francis Picabia","French"
"Giovanni-Battista Piranesi","Italian"
"Lyubov Popova","Russian"
"Enrico Prampolini","Italian"
"Hans Richter","American"
"Luigi Russolo","Italian"
"Antonio Sant'Elia","Italian"
"Joost Schmidt","German"
"Sergei Senkin","Russian"
"Varvara Stepanova","Russian"
"David Sterenberg","American"
"Yves Tanguy","American"
"Vladimir Tatlin","Russian"
"Georges Vantongerloo","Belgian"
"Jacques Villon","French"
"Natan Al'tman","Russian"
"Iurii Annenkov","Russian"
"André Beaudin","French"
"Émile Bernard","French"
"Émile-Antoine Bourdelle","French"
"Edouard-Léon-Louis Edy-Legrand","French"
"Wharton Esherick","American"
"Pierre Laprade","French"
"André Lhote","French"
"Max Liebermann","German"
"Mariette Lydis","Austrian"
"Frans Masereel","Belgian"
"Luc-Albert Moreau","French"
"John Northcote Nash","British"
"Paul Nash","British"
"Auguste Rodin","French"
"Max Slevogt","German"
"Nikolai Andreevich Tyrsa","Russian"
"Louis I. Kahn","American"
"Erik Gunnar Asplund","Swedish"
"Léon Azéma","French"
"Luciano Baldessari","Italian"
"Erik Bryggman","Finnish"
"Jacques Carlu","French"
"René Crevel","French"
"Oswald Haerdtl","Austrian"
"John Augur Holabird","American"
"Adolf Meyer","German"
"Lilly Reich","German"
"Mario Sironi","Italian"
"Dorothy C. Miller","American"
"Mick Arsena","American"
"Frances Avery","American"
"Vera Baker","American"
"Patrocino Barela","American"
"Charles Barrows","American"
"Alphonso Basile","American"
"Fred Becker","American"
"Rainey Bennett","American"
"Lucienne Bloch","American"
"Ilya Bolotowsky","American"
"A. Borrosco","American"
"Harry Bowden","Nationality unknown"
"Raymond Breinin","American"
"Byron Browne","American"
"Alfredo Casale","American"
"Pedro Cervantez","American"
"George Constant","American"
"Francis Criss","British"
"Allan Rohan Crite","American"
"Alfred Crowley","American"
"Willem de Kooning","American"
"Donald Donovan","American"
"Hyman Dorfman","American"
"P. Dublinsky","American"
"Mabel Dwight","American"
"Carlus Dyer","American"
"Stuart Edie","American"
"Isaiah Eisen","American"
"Seymour Fogel","American"
"Donald Forbes","American"
"Karl Fortess","American"
"Joe Ganello","American"
"Emil Ganso","American"
"Oronzo Gasparo","American"
"Eugenie Gershoy","American"
"Aaron Goodelman","American"
"Harry Gottlieb","American"
"Balcomb Greene","American"
"O. Louis Guglielmi","American"
"John P. Heins","American"
"Leon Kelly","American"
"Paul Kelpe","American"
"Joan Knobe","American"
"Lawrence Kupferman","American"
"Sebastian Lanotte","American"
"Lawrence Lebduska","American"
"Julian E. Levi","American"
"Jack Levine","American"
"Donald Liguore","American"
"Charles Locke","American"
"Loren MacIver","American"
"McCarthy","American"
"George McNeil","American"
"Mike Mosco","American"
"Louis Novar","American"
"William C. Palmer","American"
"Gregorio Prestopino","American"
"Anton Refregier","American"
"Misha Reznikoff","American"
"Rhoda Rich","American"
"Helen Rimland","American"
"José de Rivera","American"
"Hugo Robus","American"
"James Rosenquist","American"
"Lena Safer","American"
"Robert Shubert","American"
"Mitchell Siporin","American"
"Raphael Soyer","American"
"Harry Sternberg","American"
"Albert Swinden","Nationality unknown"
"Rufino Tamayo","Mexican"
"Bumpei Usui","Japanese"
"Frede Vidar","American"
"Karl Zerbe","American"
"John Singleton Copley","American"
"Alfred Stieglitz","American"
"Russell Barnett Aitken","American"
