"DisplayName","Nationality"
"Lawrence B. Anderson","American"
"Antonin Raymond","American"
"Kenneth Showell","American"
"Ralph Rapson","American"
"Saul Baizerman","American"
"Balthus (Baltusz Klossowski de Rola)","French"
"Walter Greaves","English"
"Oscar Jespers","Belgian"
"Fletcher Martin","American"
"Edvard Munch","Norwegian"
"Cândido Portinari","Brazilian"
"Stanley Spencer","British"
"Heinz Warneke","American"
"Eugène Beaudouin","French"
"R. Buckminster Fuller","American"
"GATCPAC","Catalan"
"William Holabird","American"
"Arne Jacobsen","Danish"
"Pierre Jeanneret","Swiss"
"Marcel Lods","French"
"Michael Thonet","Austrian"
"Sidney Janis","American"
"R. J. Bump","American"
"Cleo Crawford","American"
"Alex Fletcher","American"
"Gene Frances","American"
"Fred Fredericks","American"
"Bernard Frouchtben","American"
"Morris Hirshfield","American"
"Hazel Knapp","American"
"Samuel Koch","American"
"Dorothy B. Leake","American"
"Flora Lewis","American"
"Anna Maria Robertson Moses","American"
"Rev. W. S. Mulholland","American"
"Byron Randall","American"
"Pasquale (Patsy) Santo","American"
"Ella Southworth","American"
"Gregorio Valdes","American"
"Dahlov Zorach Ipcar","American"
"Alsterfors, Sweden","Swedish"
"Blenko Glass Co., Inc., Milton, WV","American"
"Goodell Co., Antrim, NH","American"
"A.H. Heisey & Co., Newark, Ohio","American"
"Hemco Plastics Div. of Bryant Electrical Co., Bridgeport, CT","American"
"Hughes-Autograf Brush Co., Inc., NY","American"
"James Prestini","American"
"Rohm & Haas Co.","American"
"Josiah Wedgwood","British"
"Heinz Henghes (G. H. Clusmann)","British"
"M. Schimmel","Nationality unknown"
"Eliot Noyes","American"
"Eliel Saarinen","Finnish"
"Clarence Kennedy","American"
"Fra Angelico","Florentine"
"Giovanni Bellini","Venetian"
"Sandro Botticelli","Florentine"
"Caravaggio","Italian"
"Correggio","Italian"
"Guercino","Italian"
"Alessandro Longhi","Italian"
"Andrea Mantegna","Italian"
"Michelangelo","Italian"
"Pollaiuolo","Italian"
"Raphael Sanzio","Italian"
"Gertrude Abercrombie","American"
"Roff Beman","American"
"Lily Cushing","American"
"Morris Graves","American"
"Joseph Hirsch","American"
"Dong Kingman","American"
"Edward Millman","American"
"Everett Spruce","American"
"Raoul Pe?ne Du Bois","American"
"Manolo (Manuel Martínez Hugué)","Spanish"
"Francois Pompon","French"
"Douglass Crockwell","American"
"Carlos Andreson","American"
"Sarah Berman","American"
"Joseph Binder","American"
"Mortimer Borne","American"
"Julian De Miskey","French"
"Victor De Pauw","American"
"Alexander Dobkin","American"
"Karl Edelman","American"
"Hugh Ferriss","American"
"Thomas George","American"
"Samuel Glankoff","American"
"Joseph Webster Golinkin","American"
"Gordon Grant","American"
"John Groth","American"
"Philip Guston","American"
"Robert Gwathmey","American"
"John Heliker","American"
"Mitchell Jamieson","American"
"Chet La More","American"
"Jacob Landau","American"
"Russell Limbach","American"
"Carl Pickhardt","American"
"Leonard Pytlak","American"
"Bernard Steffen","American"
"Jack Tworkov","American"
"Rudolph Von Ripper","American"
"Sylvia Wald","American"
"Roberto Montenegro","Mexican"
"Manuel Alvarez Bravo","Mexican"
"Raúl Anguiano","Mexican"
"Doctor Atl","Mexican"
"Julio Castellanos","Mexican"
"Fernando Castillo","Mexican"
"José Chávez Morado","Mexican"
"Francisco Dosamantes","Mexican"
"Baltasar de Echave Ibia","Mexican"
"Gabriel Fernández Ledesma","Mexican"
"Francisco Goitia","Mexican"
"Jesús Guerrero Galvan","Mexican"
"Frida Kahlo","Mexican"
"Agustín Lazo","Mexican"
"Leopoldo Méndez","Mexican"
"Guillermo Meza","Mexican"
"José-Guadalupe Posada","Mexican"
"Manuel Rodríguez Lozano","Mexican"
"Antonio Ruiz","Mexican"
"Tebo (Angel Torres Jaramillo)","Mexican"
"Alfredo Zalce","Mexican"
"Edward Chavez","American"
"José De Creeft","American"
"Louis Dlugosz","American"
"Maurice Grosser","American"
"Abraham Rattner","American"
"Dean Fausett","American"
"Bohuslav Kokoschka","Austrian"
"W.R. Case & Sons Cutlery Co., Bradford, PA","American"
"Drain-Dri Co., San Francisco, CA","American"
"Duplex Appliance Co., Springfield, MA","American"
"The Ironrite Ironer Co., Detroit, MI","American"
"Richard Kelly","American"
"W. O. Langille","American"
"Lorraine Metal Mfg. Co., NY","American"
"I. Niedeman","Nationality unknown"
"C.S. Osborne & Co., Newark, NJ","American"
"Pen N Pencil Co., New York, NY","American"
"Seneca Glass Co.","American"
"Sewell Mfg. Co., Dayton, OH","American"
"W. Archibald Welden","American"
"The Winsted Hardware Manufacturing Co., Winsted, CT","American"
"Judson Briggs","American"
"Max Arthur Cohn","American"
"Todros Geller","American"
"Ruth Gikow","American"
"Riva Helfond","American"
"Misch Kohn","American"
"Edward Landon","American"
"Hulda Robbins","American"
"Hyman Warsager","American"
"Ralston Crawford","American"
"Mervin Jules","American"
"Emilio Soyer","Peruvian"
"Ruth Bernhard","American"
"Arnold Genthe","American"
"Helen Levitt","American"
"Lisette Model","American"
"Dorothy Norman","American"
"Eliot Porter","American"
"Malvina Hoffman","American"
"René d'Harnoncourt","American"
"John Wallace","Canadian"
"Darrel Austin","American"
"Roberto Berdecio","Bolivian"
"Joan Brockway","American"
"Austen Chauncey","American"
"Sydney Fossum","American"
"John Ross Minty","American"
"Richard Munsell","American"
"Irene Rice Pereira","American"
"James Pike","Nationality unknown"
"Bernard Walsh","American"
"Cundo Bermúdez","Cuban"
"A. Laurens","Nationality unknown"
"Edward Ardizzone","British"
"John Armstrong","British"
"Edward Bawden","British"
"Muirhead Bone","British"
"William Conor","Irish"
"Frank Dobson","British"
"Evelyn Dunbar","British"
"Richard Eurich","British"
"Reginald Grenville Eves","British"
"Barnett Freedman","British"
"Ethel Gabain","French"
"Harold Gilman","English"
"Anthony Gross","British"
"A.S. Hartrick","British"
"Keith Henderson","British"
"Eric Henri Kennington","British"
"John Mansbridge","British"
"David Brown Milne","Canadian"
"William Orpen","Irish"
"John Piper","British"
"William Roberts","British"
"William Rothenstein","English"
"Graham Sutherland","British"
"Edward Wadsworth","British"
"Arbit Blatas","American"
"Adja Yunkers","American"
"Toni Hughes","American"
"Emil Cardinaux","Swiss"
"Alois Carigiet","Swiss"
"Jules Chéret","French"
"Howard Chandler Christy","American"
"Eugène Grasset","French"
"Frank Greco","American"
"Ludwig Hohlwein","German"
"Pere Catala Pic","Spanish"
"Lovis Rhead","American"
"Otis Shepard","American"
"Théophile-Alexandre Steinlen","French"
"Ludwig Bemelmans","American"
"Théodore Géricault","French"
"John Tenniel","English"
"John Atherton","American"
"George Giusti","American"
"Xanti Schawinsky","American"
"Jean-Léon Gérôme","French"
"John D. (Ivan Dombrowski) Graham","American"
"Pablo O'Higgins","American"
"G. E. Kidder Smith","American"
"Theo H. Ballmer","Swiss"
"D. S. Martin","American"
"Giorgione","Italian"
"Frans Hals","Dutch"
"Utagawa Hiroshige","Japanese"
"Jean-Auguste-Dominique Ingres","French"
"Gregory Ain","American"
"Harris & Ewing/Times World Wide Photos","American"
"Friedrich Karl Gotsch","German"
"Eloise Howard","American"
"Aleksei Kravchenko","Russian"
"Paul R. Meltsner","American"
"Stavenitz","Nationality unknown"
"Edgar Kaufmann, Jr.","American"
"Thorvald A Hoyer","Dutch"
"Edward C. (""Pa"") Hunt","American"
"Frederick Papsdorf","American"
"Patrick J. Sullivan","American"
"Alfred Wallis","British"
"Jules Grandjouan","French"
"Nancy Newhall","American"
"James Thrall Soby","American"
"Alexander Alland","American"
"Keith James Aulik","Nationality unknown"
"Gerhard H. Bakker","American"
"Clarence Lincoln Block","Nationality unknown"
"Mildred Leo Clemens","Nationality unknown"
"Sam Cocomise","Nationality unknown"
"Marjory Collins","American"
"Hal Davidson","American"
"Faurest Davis","American"
"Richard Day","American"
"Victor De Palma","Nationality unknown"
"Arnold Eagle","American"
"Edward Enlin","American"
"Walker Farynk","Nationality unknown"
"Philip Fein","Nationality unknown"
"Albert Fenn","American"
"Henry G. Flannery","American"
"Q. O. Gilbert","Nationality unknown"
"Sid Grossman","American"
"John Gutmann","American"
"Elizabeth Harding","Nationality unknown"
"Robert Ingram","Nationality unknown"
"Jean Jackson","Nationality unknown"
"Alma R. Lavenson","American"
"Luis Lemus","American"
"Sol Libsohn","American"
"Betty Clark Little","American"
"Zell Mabee","Nationality unknown"
"Jack Manning","American"
"J. W. McManigal","American"
"Wright Morris","American"
"Joe Munroe","American"
"Roi Partridge","American"
"David Robbins","American"
"LeRoy Southward Robbins","American"
"Henry B. Robertson","American"
"John C. Rogers","Nationality unknown"
"Ralph Samuels","American"
"Gilbert H. Seaver","American"
"Arthur Siegel","American"
"Aaron Siskind","American"
"Orville Logan Snider","Nationality unknown"
"Frederick Sommer","American"
"Rolf Tietgens","Nationality unknown"
"Elizabeth Timberman","American"
"Walter G. Treadwell","American"
"Harriet M. Veissi","Nationality unknown"
"E. K. Waters","American"
"Ernest Weissman","Nationality unknown"
"Minor White","American"
"Barnes and Reinecke","Nationality unknown"
"Leslie Beaton","American"
"Eastman Kodak Company, Rochester, NY","American"
"Frances Felton","American"
"Martin Freeman","American"
"Simon Gate","Swedish"
"KO, Japan","Japanese"
"Ontario Knife Co., Ontario, NY","American"
"Plas-tex Corporation, Los Angeles, CA","American"
"The Richter & Phillips Co., Cincinatti, OH","American"
"Mary Rodney","American"
"Max Schling","American"
"The Stanley Works","American"
"Rex A. Stevens","American"
"David Swedlow","American"
"Swift & Anderson, Inc., Boston, MA","American"
"Scott Wilson","Scottish"
"Arnold Newman","American"
"Clifford and Rosemary Ellis","British"
"Weisgerber","Austrian"
"Wifredo Lam","Cuban"
"Maria Martins","Brazilian"
"Kurt W. Baasch","American"
"Frank Meadow Sutcliffe","British"
"Gjon Mili","American"
"Hyman Bloom","American"
"Emma Lu Davis","American"
"Donal Hord","American"
"Rico Lebrun","American"
"Octavio Medellin","American"
"Charles Hoff","American"
"Elliot Orr","American"
"Bernard Gussow","American"
"Richard Lahey","American"
"William H. Bell","American"
"Edward S. Curtis","American"
"James F. Gibson","American"
"John Hillers","American"
"William Henry Jackson","American"
"Carleton E. Watkins","American"
"Ben Wittick","American"
"John Wood","American"
"Charles Coiner","Nationality unknown"
"Olin Dows","American"
"Julian Binford","American"
"Jared French","American"
"William H. Johnson","American"
"Carl Morris","American"
"David Shapiro","American"
"Jean Metzinger","French"
"Charles Smith","American"
"Thomas Wilfred","American"
"Carl Sandburg","American"
"Jack Delano","American"
"Helen Margaret Post","American"
"Irving Rusinow","American"
"U.S. Army Air Force","American"
"U.S. Army Signal Corps","American"
"U.S. Navy","American"
"John Vachon","American"
"Marion Post Wolcott","American"
"George L. K. Morris","American"
"Saul Steinberg","American"
"Martin Baer","American"
"Arthur Osver","American"
"Walter Quirt","American"
"Kurt Roesch","American"
"Thelma Johnson Streat","American"
"Richard Taylor","Canadian"
"Nicholas Bentley","British"
"Abram Games","British"
"Frederick H. K. Henrion","British"
"Jan Lewitt","British"
"Herbert Tomlinson","British"
"Vernon DeMars","American"
"Burnham Hoyt","American"
"György Kepes","American"
"Robert Bruce Tague","American"
"Eric Isenburger","American"
"Reuven Rubin","Israeli"
"David Smith","American"
"Frederick Cooper","Peruvian"
"Cheng Sha Ping","Chinese"
"Lu Chu Chuan","Chinese"
"Pao Ch'i-chuan","Chinese"
"Frances Brennan","American"
"Victor Ancona","American"
"Karl Koehler","American"
"Henry Koerner","American"
"Johannes Larsen","Danish"
"Ben Nason","American"
"Constantino Nivola","American"
"Arabia, Wärtsilä Ab, Helsinki, Finland","Finnish"
"Joaquin Pottery Co., Stockton, CA","American"
"Johnson & Johnson Consumer Companies, Inc.","American"
"Peter Schlumbohm","American"
"Milton Avery","American"
"Richmond Barthe","American"
"Antonio Berni","Argentine"
"Giovanni Boldini","Italian"
"Alice Boughton","American"
"Leonora Carrington","British"
"Paul Delvaux","Belgian"
"Kees van Dongen","French"
"Luis Herrera Guevara","Chilean"
"Ferdinand Hodler","Swiss"
"Lotte Jacobi","American"
"Herman Landshoff","American"
"Leonid (Leonid Berman)","American"
"Juan O'Gorman","Mexican"
"Chana Orloff","French"
"Elsa Schmid","American"
"Juan Soriano","Mexican"
"Moses Soyer","American"
"William Steig","American"
"Ossip Zadkine","French"
"Anders Zorn","Swedish"
"Wesley Coe Doherty","American"
"Genevieve Naylor","American"
"Audrey Buller","American"
"Erastus Salisbury Field","American"
"Peter Hurd","American"
"John Frederick Kensett","American"
"William S Mount","American"
"Charles Rain","American"
"H. D. Rothschild","American"
"Harry Watrous","American"
"Andrew Wyeth","American"
"George Baker","American"
"Hervey Parke Clark","American"
"Luis Alberto Acuña","Colombian"
"Aleijadinho (Antonio Francisco Lisboa)","Brazilian"
"Pedro Americo de Figueiredo","Brazilian"
"Manuel Angeles Ortiz","Spanish"
"Olga Anhalzer-Fisch","Hungarian"
"Gonzalo Ariza","Colombian"
"Carlos Baca-Flor","Peruvian"
"Aquiles Badi","Argentine"
"Juan Antonio Ballester Peña","Argentine"
"Héctor Basaldua","Argentine"
"Edith Behring","Brazilian"
"Alfredo Bigatti","Argentine"
"Juan Manuel Blanes","Uruguayan"
"Camilo (Jésus Sanchez Urteaga) Blas","Peruvian"
"Norah Borges De Torre","Argentine"
"Angel Bracho","Mexican"
"Pablo Burchard","Chilean"
"Horacio A. Butler","Argentine"
"Federico Cantú","Mexican"
"José Bernardo Cardoso Jr.","Brazilian"
"Mario Carreño","Chilean"
"Clara Carrié","Argentine"
"Teresa Carvallo","Peruvian"
"Rodolfo V Castagna","Argentine"
"Pedro Castelar Báez","Mexican"
"Julia Codesido","Peruvian"
"Olga Costa","Mexican"
"Percy Deane","Brazilian"
"Nélida Demichelis","Argentine"
"Heitor dos Prazeres","Brazilian"
"Carlos Enríquez","Cuban"
"Jesús Escobedo","Mexican"
"Pancho Fierro","Peruvian"
"Pedro Figari","Uruguayan"
"Raquel Forner","Argentine"
"Jose Gil de Castro","Peruvian"
"Ramón Gómez Cornet","Argentine"
"Oswaldo Guayasamín","Ecuadorian"
"Xavier Guerrero","Mexican"
"Alfredo Guido","Argentine"
"Alberto da Veiga Guignard","Brazilian"
"Cecilio Guzmán de Rojas","Bolivian"
"Luis Alberto Heredia","Ecuadorian"
"Eduardo Kingman","Ecuadorian"
"Erwin Kraus","Colombian"
"Mauricio Lasansky","American"
"Gustavo Lazarini Terradas","Uruguayan"
"Fernando Leal","Mexican"
"Fernando López Anaya","Argentine"
"Mariano (Mariano Rodríguez)","Cuban"
"Luis Martínez Pedro","Cuban"
"Martínez Pintao (Manuel Martínez Pintao)","Mexican"
"Roberto Matta","Chilean"
"Waldimiro Melgarejo Muñoz","Argentine"
"Benjamín Molina","Mexican"
"Julio Montenegro","Colombian"
"Francisco (""Pancho"") Mora","Mexican"
"Isidoro Ocampo","Mexican"
"Carlos Orozco Romero","Mexican"
"Paulo Rossi Osir","Brazilian"
"María Catalina Otero Lamas","Argentine"
"Onofrio A. Pacenza","Argentine"
"José Pancetti","Brazilian"
"Diógenes Paredes","Ecuadorian"
"Amelia Peláez del Casal","Cuban"
"Emilio Pettoruti","Argentine"
"Georgette Pinet","Nationality unknown"
"Fidelio Ponce de León","Cuban"
"René Portocarrero","Cuban"
"Alfonso Ramírez Fajardo","Colombian"
"Teodoro Ramos Blanco","Cuban"
"Domingo Ravenet","Cuban"
"Francisco Rebolo Gonsales","Brazilian"
"Jesús Reyes Ferreira","Mexican"
"Israel Roa Villagra","Chilean"
"Attilio Rossi","Italian"
"José Sabogal","Peruvian"
"Tomás Santa Rosa Junior","Brazilian"
"Lasar Segall","Brazilian"
"Raúl Soldi","Argentine"
"Lino Eneas Spilimbergo","Argentine"
"Joaquín Torres-García","Uruguayan"
"Demetrio Urruchúa","Argentine"
"Mario Urteaga","Peruvian"
"Aida Vaisman","Argentine"
"Raúl Vargas","Chilean"
"Raúl Veroni","Argentine"
"Francisco Zuñiga","Mexican"
"Ernest Knee","American"
"José Dolores López","American"
"Mikhail Cheremnykh","Russian"
"Adolf Hoffmeister","Czech"
"Jewett Campbell","American"
"Jimmy Ernst","American"
"William Fett","American"
"Peter Grippe","American"
"Evsa Model","American"
"Domenico Mortellito","American"
"Isaac Lane Muse","American"
"U.S. Coast Guard","American"
"Alfred Eisenstaedt","American"
"Morris Engel","American"
"Andreas Feininger","American"
"Étienne-Jules Marey","French"
"Barbara Morgan","American"
"Erich Salomon","German"
"Philippe Halsman","American"
"Matthew Rackham Barnes","American"
"William Holbrook Beard","American"
"Albert Bierstadt","American"
"George Catlin","American"
"T. Chambers","American"
"Frederick Edwin Church","American"
"Charles Codman","American"
"Jasper Francis Cropsey","American"
"Edwin Dickinson","American"
"Thomas Doughty","American"
"Robert S. Duncanson","American"
"Asher Brown Durand","American"
"Martin Johnson Heade","American"
"Henry Inman","American"
"Edward Melcarth","American"
"Thomas Moran","American"
"Alton Pickens","American"
"Maurice Sievan","American"
"Elizabeth Sparhawk-Jones","American"
"Lilly Martin Spencer","American"
"Walter Stuempfig","American"
"Julia Thecla","American"
"John Vanderlyn","American"
"Benjamin West","American"
"Francesco Cristofanetti","American"
"Maud Morgan","American"
"Junius Redwood","American"
"Jean Cocteau","French"
"Suzanne Valadon","French"
"Willard D. Morgan","American"
"Roberto Diago","Cuban"
"Rafael Moreno","Cuban"
"Felipe Orlando","Cuban"
"W. Eugene Smith","American"
"Harry Bertoia","American"
"Walter Richard Sickert","British"
"Aino Aalto","Finnish"
"Egmont Arens","American"
"Christian Barman","British"
"Bell Telephone Laboratories","American"
"Peter Blake","British"
"Antonio Bonet","Spanish"
"W. Brooks Cavin Jr.","American"
"Calvert Coggeshall","American"
"Isaac I. Cole","American"
"Corona Typewriter Company, Inc., Groton, NY","American"
"The Dow Chemical Company, USA","American"
"Duramold Division of Fairchild Engine & Airplane Corp., New York","American"
"Charles Eames","American"
"Ray Eames","American"
"Ekco Products Co., Chicago, IL","American"
"Jorge Ferrari Hardoy","Argentine"
"Lamson & Goodnow, Shellberg Falls, MA","American"
"Bruno Mathsson","Swedish"
"McDonnell Aircraft Corp., St. Louis, MO","American"
"William H. Miller, Jr.","American"
"Davis J. Pratt","American"
"R & R Plastics, Inc., West Springfield, MA","American"
"John G. Rideout","American"
"Jens Risom","American"
"Joseph Rodgers & Sons, Ltd., Sheffield, England","British"
"Sears Roebuck and Company","American"
"Raphael S. Soriano","American"
"St. Regis Paper Co., Panelyte Div., New York, NY","American"
"Ezra Stoller","American"
"Trace And Warner","American"
"Henry Clemens van de Velde","Belgian"
"The Watertown Manufacturing Co., Watertown, CT","American"
"Eva Zeisel","American"
"Othmar H. Ammann","American"
"Ely Jacques Kahn","American"
"Reinhard & Hofmeister","American"
"Skidmore Owings & Merrill","American"
"Boris Aronson","American"
"Irene Aronson","American"
"Alexander Benois","Russian"
"Joan Junyer","American"
"Richard Lindner","American"
"Peter Piening","German"
"Marcel Vertes","Hungarian"
"Alexey Brodovitch","American"
"Jean Carlu","French"
"Thomas Eckersley","British"
"Fougasse (Cyril Kenneth Bird)","British"
"Hanns Herkendell","German"
"George Him","British"
"Huller","Swiss"
"Pat Keely","British"
"Max Lutzbacher","Swiss"
"Rapier","British"
"Otto Soglow","American"
"Niklaus Stoecklin","Swiss"
"Ladislav Sutnar","American"
"Gene Walther","Swiss"
"Charles Bierstadt","American"
"Joseph Breitenbach","American"
"Stanley T. Clough","American"
"Nicholas Ház","American"
"Dudley Lee","American"
"Albert Sands Southworth","American"
"Weegee (Arthur Fellig)","American"
"Cedric Wright","American"
"Jankel Adler","Polish"
"John Buckland-Wright","British"
"Werner Drewes","American"
"Perle Fine","American"
"Sue Fuller","American"
"Ian (Hugh Guiler) Hugo","American"
"Roderick Mead","American"
"Barbara Olmsted","Nationality unknown"
"Gabor Peterdi","American"
"Helen Phillips","American"
"André Racz","American"
"Anne Ryan","American"
"Julien Trevelyan","British"
"Raoul Ubac","Belgian"
"Roger Vieillard","French"
"Conrad Wise Chapman","American"
"Alonzo Chappel","American"
"Harvey T. Dunn","American"
"Seth Eastman","American"
"Edward Lamson Henry","American"
"T.L. Hornbrook","British"
"Emanuel Leutze","German"
"Thomas Nast","American"
"Horace Pippin","American"
"Jacob Lawrence","American"
"Bernard Rudofsky","American"
"Alden B. Dow","American"
"Virginia Admiral","American"
"Ben-Zion","American"
"Mary Callery","American"
"Stanley Cosgrove","Canadian"
"Camilo Egas","Ecuadorian"
"Dorothy Hood","American"
"Robert Motherwell","American"
"Honoré Sharrer","American"
"John Tunnard","British"
"André Adolphe-Eugène Disdéri","French"
"Dornac (a.k.a. Paul François Arnold Cardon)","French"
"Louis Arthur Ducos du Hauron","French"
"William Thompson","American"
"Auguste Vacquerie","French"
"G. A. Berg","Swedish"
"Hedrich-Blessing Photo Studio","American"
"Bella Chagall","Russian"
"Jackson Pollock","American"
"Louise Bourgeois","American"
"Marli Ehrman","American"
"Dorothy Liebes","American"
"Virginia Nepodal","American"
"Julius Shulman","American"
"Marianne Strengell","American"
"Angelo Testa","American"
"Henning Watterston","American"
"Aleksandr Vesnin","Russian"
"Almo, New York","American"
"American Optical Corp., Southbridge, MA","American"
"Imperial Glass Corp., Bellaire, OH","American"
"William J. Russell","American"
"Albert Urban","American"
"Carol Blanchard","American"
"John Masteller","American"
"Walter Curt Behrendt","German"
"Robert Osborn","American"
"Konrad Wachsmann","American"
"Boris Artzybasheff","Russian"
"Dorr Bothwell","American"
"Alfredo Boulton","Venezuelan"
"Harry Callahan","American"
"Howard Dearstyne","American"
"Max Dupain","Australian"
"Arthur Leipzig","American"
"Homer Page","American"
"Antonio Reynoso","Mexican"
"Todd Webb","American"
"Francis Bacon","British"
"Gustav Klimt","Austrian"
"Giorgio Morandi","Italian"
"Edward Wormley","American"
"David Aronson","American"
"Ben L. Culwell","American"
"David Hare","American"
"Theodore Roszak","American"
"George Tooker","American"
"Ward Bennett","American"
"Julio de Diego","Nationality unknown"
"Fannie Hillsmith","American"
"Julien Levy","American"
"Joanna Pousette-Dart","American"
"Rowland Emett","English"
"Al Banner","American"
"BMC Manufacturing Corp., USA","American"
"Cravell, Inc., Long Island, NY","American"
"Design Technics, Inc., New York, NY","American"
"Guldsmeds Aktiebolaget, Sweden","Swedish"
"Harry Handler","American"
"Edith Heath","American"
"Albin J. Herek","American"
"Thomas Higgins","American"
"A.L. Hirsch & Co., New York, NY","American"
"Karlsson & Nilsson, Sweden","Swedish"
"Florence Knoll","American"
"The Lighthouse (N.Y. Association For The Blind)","American"
"Louisville Tackle Co., Louisville, KY","American"
"Peter Müller-Munk","American"
"Nybro, Sweden","Swedish"
"Odelberg & Olson AB","Swedish"
"Reid-Hydge","Nationality unknown"
"Southern California Plastic Company","American"
"Hendrik Van Keppel","American"
"Victor Tool Co.","American"
"Gustav Eiffel","French"
"Josef Frank","Swedish"
"Antoni Gaudí","Spanish"
"Erwin Gutkind","German"
"Charles Rennie Mackintosh","British"
"William Morris","British"
"Richard Riemerschmid","German"
"Charles Francis Annesley Voysey","British"
"Philip Webb","British"
"Oronzio Maldarelli","American"
"Yvonne Delattre","Swiss"
"Alexander Girard","American"
"Corrado Cagli","American"
"Max Morise","French"
"Henri-Edmond Cross","French"
"Frederick H. Evans","British"
"Marius de Zayas","Mexican"
"Josep Lluís Sert","Spanish"
"Sigfried Giedion","Swiss"
"Robert Maillart","Swiss"
"André Giraud & Brousseau, Limoges, France","French"
"Hagbard Elis Bergh","Swedish"
"Charles D. Briddell","American"
"P. E. Camerer, St. Paul, MN","American"
"Collins Tools","American"
"Edward Condak","American"
"Harold Elberg","American"
"Karl Hagenauer","Austrian"
"Harvill Corp., Los Angeles, CA","American"
"Jack Heaney","American"
"Jon Hedu","American"
"Göran Hongell","Finnish"
"Hutzler Manufacturing Co.","American"
"Klearflax Linen Looms","American"
"Ed E. Langbein","American"
"Philip V. Leivo","American"
"John H. Lickert","American"
"Raymond Loewy","American"
"Dorothy F. Markle","American"
"Don Mortrude","American"
"Gertrud Natzler","American"
"Otto Natzler","American"
"Dean Pollock","American"
"Seguso S.R.L., Murano, Italy","Italian"
"Vernon P. Steele","American"
"Sylvania Electric Products, Inc., New York, NY","American"
"Earl S. Tupper","American"
"Wecolite Co., New York, NY","American"
"Leonard McCombe","American"
"Wayne Miller","American"
"Yousuf Karsh","Canadian"
"Adrian Siegel","American"
"William Baziotes","American"
"Enrico Donati","American"
"Adolph Gottlieb","American"
"Everardo Ramirez","Mexican"
"Charles Seliger","American"
"Theodoros Stamos","American"
"Harry Zolotow","American"
"Horace Armistead","American"
"Esteban Francés","Spanish"
"Thomas Lamb","American"
"Esther Bubley","American"
"Robert Capa","American"
"Ted Croner","American"
"Maya Deren","American"
"Louis Faurer","American"
"James Fitzsimmons","American"
"Fritz Goro","American"
"William Grigsby","American"
"Consuelo Kanaga","American"
"Toshio Matsumoto","Japanese"
"Marion Palfi","American"
"Gordon Parks","American"
"Irving Penn","American"
"Edward W. Quigley","American"
"Radio Corporation of America","American"
"David Seymour","American"
"Lou Stoumen","American"
"Vladimir Telberg-von-Teleheim","American"
"Dankmar Adler","American"
"William S. Lieberman","American"
"Carroll Cloar","American"
"Charles Moore","American"
"Bill Brandt","British"
"Tina Modotti","Italian"
"Paul Steiner","American"
"Paul Citroen","Dutch"
"Ronnie Elliott","American"
"John (born Helmut Herzfelde) Heartfield","German"
"William Kienbusch","American"
"Landès Lewitin","American"
"Pierre Naville","French"
"Benjamin Péret","French"
"Jacques Prévert","French"
"Jeannette Ducrocq Tanguy","French"
"Anne W. Brigman","American"
"F. Holland Day","American"
"Paul Haviland","French"
"William B. Post","American"
"George Bernard Shaw","Irish"
"Karl Struss","American"
"Eva Watson-Schütze","American"
"Henri Georges Adam","French"
"Françoise Desnoyer","French"
"André Fougeron","French"
"Édouard Pignon","French"
"Mario Prassinos","French"
"Félix Vallotton","French"
"Wols (A. O. Wolfgang Schulze)","German"
"Robert Colquhoun","British"
"Lucian Freud","British"
"Robert MacBryde","British"
"Marino Marini","Italian"
"Anchor Tool Co., USA","American"
"Alex J. Ettl","American"
"James J. Jacobson","American"
"Richard James","American"
"O. J. Kuker, Seattle, WA","American"
"The L.S. Starrett Co., Athol, MA","American"
"Waltham Screw Co.","American"
"Piero di Cosimo","Florentine"
"Christoffel Jegher","Flemish"
"Felix Klee","German"
"C. Whitney Bender","American"
"Bernard Perlin","American"
"Herman Rose","American"
"Attilio Salemme","American"
"Solomon D. Butcher","American"
"Jerry Cooke","American"
"Charles Corte","American"
"Sam Falk/The New York Times","American"
"Fred Hansen/Pacific and Atlantic Photos","Nationality unknown"
"Bernard Hoffman","American"
"Stanley Kubrick","American"
"Meyer Liebowitz/The New York Times","American"
"Carl Mydans","American"
"Jacob August Riis","American"
"Joe Rosenthal/Times World Wide Photos","American"
"William J. Shew","American"
"Howard Sochurek","American"
"Paul Thompson","American"
"John Thomson","British"
"Roberto Burle Marx","Brazilian"
"Milton Ackoff","American"
"Saul Bass","American"
"Lillian Bassman","American"
"Robert Cowan","American"
"Toni Frissell","American"
"Robert Gage","American"
"Richard Gangle","American"
"Paul Grotz","American"
"Charles Gwathmey","American"
"Horst P. Horst","American"
"Alexander Liberman","American"
"Leo Lionni","American"
"Sol Mednick","Nationality unknown"
"Erik Nitsche","Swiss"
"Bernard Pfriem","American"
"Paul Rand","American"
"Ben Rose","American"
"William Wood","American"
"Benjamin Baldwin","American"
"Eszter Haraszty","American"
"Juan Kurchan","Argentine"
"Vera Lisková","Czech"
"Adolph Loos","Austrian"
"Fritz Glarner","American"
"Irving Amen","American"
"Minna Citron","American"
"Jean Dubuffet","French"
"Antonio Frasconi","American"
"Raymond Jordan","American"
"Kenneth Kilstrom","American"
"Boris Margo","American"
"Harold Paris","American"
"Bernard Reder","American"
"Louis Schanker","American"
